time,delta_power,theta_power
1.0,95.26818073264306,8.55759353539344
1.9988825236900256,27.940351609490026,2.2667230042661015
2.9977650473800512,151.05351174606812,12.994977760503225
3.9966475710700773,291.5344234572099,18.643861210768296
4.9955300947601025,372.329095441051,12.723265404307096
5.994412618450128,683.0202557224763,33.186669107869214
6.993295142140155,1457.9450453781546,84.42008727430385
7.99217766583018,6533.0927285714,117.20393276275112
8.991060189520205,6651.241230767123,124.06342038422318
9.989942713210231,1239.4432203932226,115.67518381913216
10.988825236900256,241.47117270375452,67.62302565622483
11.987707760590283,141.0804344957571,19.91091852644953
12.98659028428031,43.20588784315042,12.61658675873872
13.985472807970334,49.10334993916584,10.362175001503369
14.98435533166036,38.16494670002805,2.487367334069989
15.983237855350385,29.384678698515717,2.1327634739873504
16.98212037904041,112.37012347515228,12.339748576473777
17.981002902730438,94.52403761032002,12.031160990809584
18.979885426420463,11.89079121217862,1.0135577436017715
19.978767950110488,5.073375696387675,0.7824184132034839
20.977650473800512,2.6357123461358922,0.9141996163698698
21.97653299749054,3.274012210682711,1.4690654114637636
22.975415521180565,6.134349595581972,2.5217875225084803
23.97429804487059,7.912467036459787,2.5345578541689644
24.97318056856062,5.0089701366583075,1.8829603831365573
25.972063092250643,4.189956898888307,2.1599705753946448
26.970945615940668,26.237506242430083,4.611335440127127
27.969828139630692,121.71731875944985,6.982729395495997
28.96871066332072,136.6884388225397,10.13983452759253
29.967593187010745,40.888289863576574,6.804924091020706
30.96647571070077,6.170649749435998,1.065929071722125
31.9653582343908,6.989136461929799,1.4388219257448522
32.96424075808082,3.715329131021178,0.89319783671494
33.96312328177085,3.6534486378200244,1.1394523747639242
34.962005805460876,5.193454782990833,1.7779985434336183
35.9608883291509,4.851043845655657,1.3705463286537523
36.959770852840926,4.269687644949595,0.8918751429659877
37.958653376530954,2.1724506902517713,0.9372539302630641
38.957535900220975,1.124584648487089,1.082613265231876
39.956418423911,2.6736841654380923,1.3825227445767463
